[Inference] gamma_0950
[Episode 118] [capture] total_captures = 118, lone_wolf_captures = 104, prey_survived_step = 457, predator_distance = 39.76218, avg_predator_distance = 37.33639, predator_proximity_rate = 0, score = 0.8813559
[Episode 119] [capture] total_captures = 119, lone_wolf_captures = 105, prey_survived_step = 66, predator_distance = 37.26189, avg_predator_distance = 35.98764, predator_proximity_rate = 0, score = 0.8823529
[Episode 120] [capture] total_captures = 120, lone_wolf_captures = 106, prey_survived_step = 205, predator_distance = 25.85135, avg_predator_distance = 19.0619, predator_proximity_rate = 0, score = 0.8833333
[Episode 121] [capture] total_captures = 121, lone_wolf_captures = 107, prey_survived_step = 141, predator_distance = 31.63523, avg_predator_distance = 31.40272, predator_proximity_rate = 0, score = 0.8842975
[Episode 122] [capture] total_captures = 122, lone_wolf_captures = 108, prey_survived_step = 1502, predator_distance = 19.19042, avg_predator_distance = 7.391857, predator_proximity_rate = 0.6271638, score = 0.8852459
[Episode 123] [capture] total_captures = 123, lone_wolf_captures = 109, prey_survived_step = 356, predator_distance = 29.79524, avg_predator_distance = 28.76077, predator_proximity_rate = 0, score = 0.8861789
[Episode 124] [capture] total_captures = 124, lone_wolf_captures = 110, prey_survived_step = 2677, predator_distance = 39.03051, avg_predator_distance = 20.73456, predator_proximity_rate = 0.06948076, score = 0.8870968
[Episode 125] [capture] total_captures = 125, lone_wolf_captures = 110, prey_survived_step = 2009, predator_distance = 7.041372, avg_predator_distance = 7.79382, predator_proximity_rate = 0.5769039, score = 0.88
[Episode 126] [capture] total_captures = 126, lone_wolf_captures = 110, prey_survived_step = 4264, predator_distance = 8.732468, avg_predator_distance = 19.41662, predator_proximity_rate = 0.3846154, score = 0.8730159
[Episode 127] [capture] total_captures = 127, lone_wolf_captures = 110, prey_survived_step = 147, predator_distance = 3.405776, avg_predator_distance = 2.831692, predator_proximity_rate = 1, score = 0.8661417
[Episode 128] [capture] total_captures = 128, lone_wolf_captures = 111, prey_survived_step = 429, predator_distance = 25.17794, avg_predator_distance = 22.84938, predator_proximity_rate = 0, score = 0.8671875
[Episode 129] [capture] total_captures = 129, lone_wolf_captures = 112, prey_survived_step = 1745, predator_distance = 24.29423, avg_predator_distance = 29.56413, predator_proximity_rate = 0, score = 0.8682171
[Episode 130] [capture] total_captures = 130, lone_wolf_captures = 113, prey_survived_step = 1201, predator_distance = 15.79118, avg_predator_distance = 7.396987, predator_proximity_rate = 0.6844296, score = 0.8692307
[Episode 131] [capture] total_captures = 131, lone_wolf_captures = 114, prey_survived_step = 469, predator_distance = 20.86503, avg_predator_distance = 34.8159, predator_proximity_rate = 0, score = 0.870229
